post_id,url,title,rating,author,published,tags,source
14059436,https://pikabu.ru/story/otvet_na_post_chto_za_pokolenie_14059436,Ответ на пост «Что за поколение»,,MoishaRyubman,2026-06-13T18:01:22+03:00,"Юмор,Скриншот,Threads,Playstation 5,Подарки,Ответ на пост,Текст",tag:юмор
14059424,https://pikabu.ru/story/polovoy_otbor_takoy_polovoy_14059424,Половой отбор такой половой!,,John123rty235,2026-06-13T17:54:30+03:00,"Военкомат,Армия,Призыв,Юмор,Половой отбор",tag:юмор
14059411,https://pikabu.ru/story/dushevno_v_panamku_14059411,Душевно в панамку,,Аноним,2026-06-13T17:48:40+03:00,"Юмор,Короткие видео,Вертикальное видео,Панамка,Видео",tag:юмор
14059395,https://pikabu.ru/story/muzhik_s_persikami_14059395,Мужик с персиками,20,YashikPivka,2026-06-13T17:39:41+03:00,"Картинка с текстом,Юмор,Персики,Батя,Картина,Девочка с персиками",tag:юмор
14059394,https://pikabu.ru/story/tataryonok_14059394,Татарёнок,,user8852840,2026-06-13T17:39:23+03:00,"Башкиры,Татары,Юмор,Казахи,Видео,Вертикальное видео,Короткие видео,Странный юмор",tag:юмор
14059389,https://pikabu.ru/story/podpevaem_14059389,Подпеваем,,HAPPY.BILLIONAIR,2026-06-13T17:37:37+03:00,"Юмор,Перевод,Песня,Английский язык,Видео,Вертикальное видео,Короткие видео",tag:юмор
14059350,https://pikabu.ru/story/chto_takoe_yeto_vashe_yego_syurstryoming_14059350,"Что такое это ваше ""Эго"": Сюрстрёминг!",,Zefeir,2026-06-13T17:18:31+03:00,"[моё],Внутренний диалог,Гештальт-теория,Юмор,Психология,Текст",tag:юмор
14059333,https://pikabu.ru/story/otvet_na_post_dyuzhe_potuzhno_14059333,Ответ на пост «Дюже потужно»,302,Salimzanov,2026-06-13T17:06:37+03:00,"[моё],Скриншот,X (Twitter),Политика,Украинцы,Бред,Поляки,Идиотизм,Троллинг,Стеб,Юмор,Польша,Украина,Мат,Ответ на пост,Текст",tag:юмор
14059301,https://pikabu.ru/story/nike__just_do_it_14059301,Nike - Just do it,,SecondHandCat,2026-06-13T16:52:52+03:00,"Петух,Кроссовки,Пробежка,Юмор,Видео,Без звука,Короткие видео",tag:юмор
14059295,https://pikabu.ru/story/surovaya_indiyskaya_karusel_14059295,Суровая индийская карусель,17,FlySafe,2026-06-13T16:49:59+03:00,"Юмор,Индия,Карусель,Суровость,Мужчины,Женщины,Слабоумие и отвага,Видео,Без звука,Вертикальное видео,Короткие видео",tag:юмор
14059294,https://pikabu.ru/story/kupil_byi_konechno_no_otzyivov_malovato_14059294,"Купил бы конечно, но отзывов маловато",,HAPPY.BILLIONAIR,2026-06-13T16:49:57+03:00,"Юмор,Туалетная бумага,Лакшери,Проблема,Видео,Вертикальное видео",tag:юмор
14058211,https://pikabu.ru/story/skolko_uzhe_gosudarstvo_poteryalo_na_blokirovkakh_i_kak_yeto_obyasnit_zumeram_14058211,Сколько уже государство потеряло на блокировках и как это объяснить зумерам,9,Denk13,2026-06-13T09:56:03+03:00,"Блокировка,Telegram,Зумеры,Мат,Длиннопост",tag:зумеры
14056692,https://pikabu.ru/story/chestno_story_styibzil_iz_podslushanno_apk_14056692,Честно story стыбзил из Подслушанно .apk,,Stelsbladebloode,2026-06-12T17:07:19+03:00,"Отношения,Подслушано,Девушки,Парни,Зумеры,iPhone,Деньги,Картинка с текстом,Меркантильность,Мат,Суп",tag:зумеры
20,https://pikabu.ru/story/ottsyi_i_deti_20_14056359,Отцы и дети 2.0,,user11853496,2026-06-12T14:49:54+03:00,"Контент нейросетей,Бумеры,Зумеры,Юмор,Геймеры",tag:зумеры
14053984,https://pikabu.ru/story/na_nikh_tsivilizatsiya_zakonchitsya_14053984,На них цивилизация закончится,,fosstonrus,2026-06-11T17:45:59+03:00,"Короткопост,Мысли,Зумеры,Мат,Текст",tag:зумеры
495,https://pikabu.ru/story/otvet_brooy_v_pro_495_14052144,Ответ brooy в «Про 49.5»,1085,MutluTilki,2026-06-11T06:40:02+03:00,"Возраст,Зумеры,Миллениалы,Ответ на пост,Видео,Вертикальное видео,Короткие видео",tag:зумеры
14051239,https://pikabu.ru/story/suno__shou_14051239,Суно - шоу,,selfierevolver,2026-06-10T19:03:12+03:00,"[моё],Песня,Suno,Подкаст,Зумеры",tag:зумеры
14050898,https://pikabu.ru/story/zumeryi_dobralis_do_sudov_14050898,Зумеры добрались до судов,541,,2026-06-10T16:51:18+03:00,"[моё],Юридические истории,Право,Лига юристов,Зумеры",tag:зумеры
14049913,https://pikabu.ru/story/zumeryi_nakhodyat_novyie_sposobyi_udivit_nas_14049913,Зумеры находят новые способы удивить нас,621,Fox.Abode,2026-06-10T11:06:40+03:00,"Юмор,Зумеры,SMM,Работа,Собеседование,Грусть,Коллеги,ZOOM Cloud Meetings,Скриншот",tag:зумеры
14048357,https://pikabu.ru/story/versiyu_okhotnikov_kotoryie_pereputali_podrostka_s_bobrom_nazvali_somnitelnoy_14048357,"Версию охотников, которые перепутали подростка с бобром, назвали сомнительной",198,Cravalnyi07,2026-06-09T20:03:34+03:00,"Убийство,Криминал,Зумеры,Преступление,Расследование,Новости,Негатив",tag:зумеры
14046981,https://pikabu.ru/story/gosting_ili_pofigisting_14046981,Гостинг? Или пофигистинг?,214,Dr.Anya,2026-06-09T11:49:07+03:00,"Работа,Зумеры,Текст",tag:зумеры
90,https://pikabu.ru/story/pro_zumerov_i_90yie_14046794,Про зумеров и 90-ые,213,user5935689,2026-06-09T10:43:34+03:00,"Зумеры,90-е,Актуальное,Короткопост,Текст",tag:зумеры
14046283,https://pikabu.ru/story/kak_mne_nadoeli_bitvyi_pokoleniy_14046283,Как мне надоели битвы поколений...,1401,Necrozma,2026-06-09T07:47:45+03:00,"Зумеры,Родители и дети,Странный юмор,Юмор,Разница поколений,Миллениалы",tag:зумеры
